match_id,innings,over,striker_id,propensity,phase,striker_batting_position
M0002,2,3,Batter_027,0.537423713132684,powerplay,3
M0002,2,4,Batter_046,0.82096769037604,powerplay,2
M0002,2,4,Batter_046,0.807397489724946,powerplay,2
M0002,2,4,Batter_046,0.82096769037604,powerplay,2
M0002,2,4,Batter_012,0.474862222408426,powerplay,4
M0002,2,4,Batter_012,0.474862222408426,powerplay,4
M0002,2,4,Batter_012,0.474862222408426,powerplay,4
M0002,2,5,Batter_027,0.599327236767829,powerplay,3
M0002,2,5,Batter_027,0.506816738846642,powerplay,3
M0002,2,5,Batter_027,0.599327236767829,powerplay,3
M0002,2,5,Batter_027,0.506816738846642,powerplay,3
M0002,2,5,Batter_027,0.506816738846642,powerplay,3
M0002,2,5,Batter_027,0.599327236767829,powerplay,3
M0002,2,6,Batter_012,0.601065493839749,middle,4
M0002,2,6,Batter_012,0.601065493839749,middle,4
M0002,2,6,Batter_027,0.101652358444322,middle,3
M0002,2,6,Batter_012,0.601065493839749,middle,4
M0003,1,0,Batter_006,0.822520241960854,powerplay,3
M0003,1,1,Batter_006,0.852263108158986,powerplay,3
M0003,1,1,Batter_006,0.852263108158986,powerplay,3
M0003,1,1,Batter_006,0.852263108158986,powerplay,3
M0003,1,2,Batter_006,0.835725897303659,powerplay,3
M0003,1,2,Batter_006,0.812062637831667,powerplay,3
M0003,1,3,Batter_006,0.872181842879879,powerplay,3
M0003,1,3,Batter_006,0.854991921439664,powerplay,3
M0003,1,3,Batter_006,0.854991921439664,powerplay,3
M0003,1,3,Batter_006,0.872181842879879,powerplay,3
M0003,1,3,Batter_006,0.854991921439664,powerplay,3
M0003,1,5,Batter_006,0.846006006050157,powerplay,3
M0003,1,5,Batter_006,0.812933842199619,powerplay,3
M0003,1,6,Batter_006,0.868598261914517,middle,3
M0003,1,6,Batter_006,0.868598261914517,middle,3
M0003,1,6,Batter_006,0.857846516278764,middle,3
M0003,1,7,Batter_006,0.858979146229425,middle,3
M0003,1,7,Batter_006,0.86905580423875,middle,3
M0003,1,7,Batter_006,0.858979146229425,middle,3
M0003,1,7,Batter_006,0.86905580423875,middle,3
M0003,1,7,Batter_006,0.86905580423875,middle,3
M0003,1,8,Batter_006,0.830681083122923,middle,3
M0003,2,0,Batter_033,0.433331930651681,powerplay,1
M0003,2,0,Batter_030,0.333955168545159,powerplay,2
M0003,2,0,Batter_030,0.26963041426245,powerplay,2
M0003,2,0,Batter_030,0.333955168545159,powerplay,2
M0003,2,0,Batter_033,0.44731127192551,powerplay,1
M0003,2,0,Batter_033,0.433331930651681,powerplay,1
M0003,2,1,Batter_033,0.448943882235275,powerplay,1
M0003,2,1,Batter_033,0.448943882235275,powerplay,1
M0003,2,1,Batter_033,0.429876348887135,powerplay,1
M0003,2,1,Batter_033,0.448943882235275,powerplay,1
M0003,2,1,Batter_030,0.278991252358711,powerplay,2
M0003,2,1,Batter_030,0.349356765597171,powerplay,2
M0003,2,2,Batter_033,0.469285632011025,powerplay,1
M0003,2,2,Batter_033,0.494355284626507,powerplay,1
M0003,2,2,Batter_030,0.00915951505591337,powerplay,2
M0003,2,2,Batter_033,0.469285632011025,powerplay,1
M0003,2,2,Batter_033,0.494355284626507,powerplay,1
M0003,2,2,Batter_033,0.494355284626507,powerplay,1
M0003,2,3,Batter_030,0.37496110443661,powerplay,2
M0003,2,3,Batter_030,0.295356827006467,powerplay,2
M0003,2,3,Batter_030,0.295356827006467,powerplay,2
